Make,AccidentArea,Sex,MaritalStatus,Age,Fault,PolicyType,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,delay_weeks
Honda,Urban,Male,Single,19,Third Party,Sport - Collision,more than 69000,0,400,1,more than 30,none,3 years,No,No,External,none,no change,1 vehicle,3
Mazda,Urban,Female,Single,34,Policy Holder,Sedan - All Perils,less than 20000,0,400,1,more than 30,1,3 years,No,No,External,more than 5,no change,1 vehicle,62
Pontiac,Urban,Female,Married,59,Policy Holder,Sedan - Liability,30000 to 39000,0,700,2,more than 30,more than 4,more than 7,No,No,External,none,no change,3 to 4,60
Mazda,Urban,Female,Married,53,Policy Holder,Sedan - Liability,30000 to 39000,0,400,2,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1
Toyota,Urban,Male,Married,63,Third Party,Sedan - Collision,20000 to 29000,0,400,3,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,3
Toyota,Urban,Male,Married,52,Policy Holder,Sedan - All Perils,30000 to 39000,0,400,3,more than 30,1,more than 7,No,No,External,1 to 2,no change,1 vehicle,61
Honda,Urban,Female,Single,28,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,2 to 4,5 years,No,No,External,more than 5,no change,1 vehicle,60
Pontiac,Urban,Male,Married,53,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,2 to 4,more than 7,No,No,External,1 to 2,no change,1 vehicle,60
Toyota,Urban,Male,Married,38,Policy Holder,Sedan - All Perils,less than 20000,0,400,3,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,10
Toyota,Urban,Male,Married,45,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,63
Honda,Urban,Male,Single,17,Policy Holder,Sedan - Liability,more than 69000,0,400,1,more than 30,2 to 4,new,No,No,External,none,no change,1 vehicle,60
Chevrolet,Urban,Male,Married,35,Policy Holder,Utility - All Perils,more than 69000,0,400,2,more than 30,more than 4,6 years,No,No,External,more than 5,no change,1 vehicle,62
Toyota,Urban,Male,Married,61,Policy Holder,Sedan - Collision,more than 69000,0,400,1,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,60
Toyota,Urban,Male,Married,49,Third Party,Sedan - Collision,20000 to 29000,0,400,4,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,60
Toyota,Urban,Male,Married,54,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,9
Pontiac,Urban,Male,Married,34,Policy Holder,Sedan - Liability,30000 to 39000,0,400,4,more than 30,more than 4,7 years,No,No,External,none,no change,1 vehicle,61
Toyota,Urban,Male,Single,24,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,1,more than 30,none,5 years,No,No,External,none,no change,1 vehicle,4
Toyota,Urban,Male,Married,68,Third Party,Sedan - All Perils,less than 20000,0,400,1,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,61
Pontiac,Urban,Male,Single,23,Policy Holder,Sedan - Liability,20000 to 29000,0,400,2,more than 30,more than 4,5 years,No,No,External,more than 5,no change,1 vehicle,60
Toyota,Urban,Male,Single,27,Policy Holder,Sedan - Liability,30000 to 39000,0,400,1,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,7
Honda,Urban,Female,Single,32,Policy Holder,Sedan - All Perils,less than 20000,0,400,2,more than 30,1,6 years,No,No,External,none,1 year,2 vehicles,61
Chevrolet,Urban,Male,Married,55,Third Party,Sedan - Collision,20000 to 29000,0,400,1,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,60
Chevrolet,Urban,Male,Single,39,Policy Holder,Utility - All Perils,more than 69000,0,400,4,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,1 vehicle,4
Pontiac,Rural,Male,Married,46,Third Party,Sedan - All Perils,20000 to 29000,0,400,2,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,60
Pontiac,Urban,Male,Married,39,Policy Holder,Sedan - Liability,30000 to 39000,0,400,4,more than 30,more than 4,more than 7,No,No,External,more than 5,no change,1 vehicle,60
Honda,Urban,Male,Married,29,Policy Holder,Sedan - Collision,20000 to 29000,0,400,1,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,60
VW,Urban,Male,Single,45,Third Party,Sedan - All Perils,more than 69000,1,500,4,more than 30,none,7 years,No,No,External,more than 5,2 to 3 years,1 vehicle,5
Toyota,Urban,Male,Single,31,Policy Holder,Sedan - Liability,20000 to 29000,0,400,3,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,5
Chevrolet,Urban,Male,Married,51,Third Party,Sedan - All Perils,30000 to 39000,0,400,3,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,61
Honda,Urban,Male,Married,31,Policy Holder,Sedan - Collision,30000 to 39000,0,400,4,more than 30,none,6 years,No,No,External,1 to 2,no change,1 vehicle,60
Pontiac,Urban,Male,Married,58,Third Party,Sedan - All Perils,more than 69000,0,400,4,more than 30,none,more than 7,No,No,External,1 to 2,no change,1 vehicle,60
Honda,Urban,Male,Married,47,Policy Holder,Sedan - Liability,20000 to 29000,0,400,3,more than 30,more than 4,7 years,No,No,External,none,no change,1 vehicle,6
Pontiac,Urban,Male,Married,30,Third Party,Sedan - Collision,20000 to 29000,0,400,1,more than 30,none,6 years,No,No,External,3 to 5,no change,1 vehicle,6
Toyota,Urban,Male,Single,28,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,1,3 years,No,No,External,none,no change,1 vehicle,60
Pontiac,Urban,Female,Married,45,Third Party,Sedan - Collision,30000 to 39000,0,400,2,more than 30,none,7 years,No,No,External,3 to 5,no change,1 vehicle,61
Accura,Rural,Male,Married,76,Policy Holder,Sedan - All Perils,30000 to 39000,1,400,3,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,60
Pontiac,Urban,Male,Married,32,Third Party,Sedan - Collision,20000 to 29000,0,400,4,more than 30,none,5 years,No,No,External,more than 5,no change,1 vehicle,60
Chevrolet,Rural,Male,Single,24,Policy Holder,Sedan - Collision,30000 to 39000,0,400,3,more than 30,2 to 4,5 years,No,No,Internal,3 to 5,no change,1 vehicle,60
Honda,Urban,Male,Single,29,Third Party,Sedan - Collision,30000 to 39000,0,400,4,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,61
Mazda,Urban,Female,Married,32,Policy Holder,Sedan - Liability,30000 to 39000,0,400,3,more than 30,none,7 years,No,No,External,1 to 2,no change,1 vehicle,61
Honda,Urban,Male,Married,34,Policy Holder,Sedan - All Perils,less than 20000,0,400,3,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,61
Chevrolet,Urban,Female,Single,31,Policy Holder,Sedan - Collision,20000 to 29000,1,400,2,more than 30,none,5 years,No,No,External,1 to 2,4 to 8 years,2 vehicles,60
Chevrolet,Urban,Male,Married,35,Policy Holder,Sedan - All Perils,30000 to 39000,0,400,2,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,62
Pontiac,Rural,Male,Single,26,Policy Holder,Sedan - Collision,20000 to 29000,0,400,3,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,3 to 4,61
Pontiac,Urban,Male,Married,38,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,1,4 years,No,No,External,none,no change,1 vehicle,61
Chevrolet,Urban,Male,Single,24,Policy Holder,Sedan - Liability,20000 to 29000,0,400,2,more than 30,2 to 4,5 years,No,No,External,none,no change,1 vehicle,60
Pontiac,Urban,Male,Married,46,Policy Holder,Sedan - All Perils,less than 20000,0,400,2,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,60
Pontiac,Urban,Male,Married,50,Third Party,Sedan - Collision,20000 to 29000,0,400,1,more than 30,1,more than 7,No,No,External,3 to 5,no change,1 vehicle,60
Honda,Urban,Male,Single,16,Policy Holder,Sedan - Liability,more than 69000,0,400,2,more than 30,1,new,No,No,External,none,no change,1 vehicle,61
Mazda,Urban,Male,Married,37,Policy Holder,Sedan - Collision,30000 to 39000,0,400,4,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,61
Chevrolet,Urban,Male,Married,57,Policy Holder,Utility - All Perils,more than 69000,0,400,3,more than 30,1,more than 7,No,No,External,3 to 5,no change,1 vehicle,61
Chevrolet,Urban,Male,Married,35,Policy Holder,Sedan - Collision,30000 to 39000,0,400,4,more than 30,more than 4,5 years,No,No,External,3 to 5,no change,1 vehicle,60
Toyota,Urban,Male,Single,39,Policy Holder,Sedan - Collision,30000 to 39000,0,400,1,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,61
Accura,Urban,Male,Single,27,Third Party,Sedan - All Perils,30000 to 39000,0,400,4,more than 30,2 to 4,6 years,Yes,No,External,1 to 2,no change,1 vehicle,62
Pontiac,Urban,Male,Married,47,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,2
Mazda,Urban,Male,Married,51,Policy Holder,Sedan - Collision,30000 to 39000,0,400,3,more than 30,2 to 4,more than 7,No,No,External,1 to 2,no change,1 vehicle,61
Pontiac,Urban,Male,Married,45,Policy Holder,Sedan - Liability,20000 to 29000,0,400,1,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,1 vehicle,61
Pontiac,Urban,Male,Married,35,Third Party,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,1,7 years,No,No,External,3 to 5,no change,1 vehicle,1
Ford,Urban,Male,Married,46,Policy Holder,Sedan - All Perils,30000 to 39000,0,400,4,none,none,7 years,No,No,External,none,no change,1 vehicle,7
Pontiac,Urban,Male,Married,52,Third Party,Sedan - Collision,30000 to 39000,0,400,4,more than 30,2 to 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,2
Pontiac,Urban,Male,Married,31,Policy Holder,Sedan - Collision,20000 to 29000,0,400,3,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,61
Mazda,Rural,Female,Divorced,38,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,60
Chevrolet,Urban,Male,Single,26,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,2 to 4,6 years,No,No,External,more than 5,4 to 8 years,2 vehicles,60
Pontiac,Urban,Female,Single,23,Third Party,Sedan - All Perils,less than 20000,0,400,1,more than 30,none,5 years,No,No,External,more than 5,no change,1 vehicle,60
Accura,Rural,Male,Married,67,Policy Holder,Utility - All Perils,more than 69000,0,700,1,more than 30,none,more than 7,No,No,External,1 to 2,no change,1 vehicle,61
Mazda,Urban,Male,Single,33,Policy Holder,Sedan - Liability,20000 to 29000,0,400,1,more than 30,more than 4,7 years,No,No,External,1 to 2,no change,1 vehicle,60
Mazda,Urban,Female,Single,29,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,none,5 years,No,No,External,none,no change,1 vehicle,60
Honda,Urban,Male,Single,23,Third Party,Sedan - Collision,20000 to 29000,0,400,1,more than 30,1,5 years,No,No,External,none,no change,1 vehicle,60
Honda,Urban,Male,Single,22,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,60
Honda,Urban,Male,Single,33,Third Party,Sedan - All Perils,20000 to 29000,0,400,2,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,62
Pontiac,Urban,Male,Married,72,Policy Holder,Sedan - Liability,20000 to 29000,0,400,1,more than 30,more than 4,more than 7,No,No,External,1 to 2,no change,1 vehicle,60
Chevrolet,Urban,Male,Married,50,Third Party,Sedan - Collision,more than 69000,0,400,2,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,60
Accura,Urban,Male,Married,46,Policy Holder,Sedan - Collision,more than 69000,1,400,3,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,63
Toyota,Urban,Male,Single,30,Policy Holder,Sedan - Collision,20000 to 29000,0,400,1,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,60
Chevrolet,Rural,Male,Married,38,Policy Holder,Sedan - Liability,30000 to 39000,0,400,2,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,2
Mazda,Urban,Male,Single,33,Policy Holder,Sedan - All Perils,30000 to 39000,0,400,2,more than 30,none,7 years,No,No,External,3 to 5,no change,1 vehicle,60
Chevrolet,Rural,Male,Married,40,Policy Holder,Sedan - Liability,30000 to 39000,0,400,4,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,61
Toyota,Urban,Male,Married,49,Third Party,Sedan - All Perils,20000 to 29000,0,500,1,more than 30,2 to 4,more than 7,No,No,External,none,2 to 3 years,1 vehicle,62
Pontiac,Rural,Male,Married,52,Third Party,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,60
Honda,Urban,Male,Married,69,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,60
Chevrolet,Urban,Female,Single,37,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,more than 4,6 years,No,No,External,more than 5,no change,1 vehicle,60
Pontiac,Urban,Male,Married,36,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,2
Mazda,Urban,Male,Married,38,Policy Holder,Sedan - Liability,30000 to 39000,0,400,3,more than 30,more than 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,60
Toyota,Urban,Male,Married,53,Policy Holder,Sedan - Collision,20000 to 29000,0,400,3,more than 30,1,7 years,No,No,External,none,4 to 8 years,2 vehicles,61
Toyota,Urban,Male,Married,53,Third Party,Sedan - All Perils,less than 20000,0,400,4,more than 30,none,more than 7,No,No,External,1 to 2,no change,3 to 4,7
Honda,Rural,Female,Single,37,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,61
Mazda,Urban,Male,Single,29,Policy Holder,Sport - Collision,more than 69000,0,400,3,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,61
Honda,Urban,Male,Married,28,Policy Holder,Sedan - Collision,20000 to 29000,0,400,1,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,60
Toyota,Urban,Male,Married,48,Third Party,Sedan - Liability,40000 to 59000,0,400,3,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,60
Pontiac,Urban,Male,Married,33,Third Party,Sedan - All Perils,less than 20000,0,400,1,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,60
Pontiac,Rural,Male,Married,33,Policy Holder,Sedan - Collision,40000 to 59000,0,400,4,more than 30,2 to 4,5 years,No,No,External,3 to 5,no change,1 vehicle,61
Pontiac,Urban,Male,Married,44,Policy Holder,Sedan - Collision,30000 to 39000,0,400,4,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,60
Honda,Urban,Female,Single,62,Policy Holder,Sedan - Liability,20000 to 29000,0,400,2,more than 30,more than 4,more than 7,No,No,External,more than 5,no change,1 vehicle,60
Chevrolet,Urban,Female,Married,30,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,2 to 4,5 years,No,No,External,more than 5,no change,1 vehicle,60
Honda,Rural,Male,Married,36,Policy Holder,Sedan - Liability,20000 to 29000,0,400,1,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,61
Mazda,Urban,Male,Married,31,Third Party,Sedan - All Perils,20000 to 29000,0,700,2,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,60
Pontiac,Urban,Male,Married,64,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,60
Mazda,Urban,Male,Married,26,Third Party,Sedan - Collision,20000 to 29000,0,400,4,more than 30,none,6 years,No,No,External,1 to 2,no change,1 vehicle,60
Toyota,Urban,Female,Single,27,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,1 vehicle,60
Honda,Rural,Male,Married,54,Third Party,Sedan - Collision,20000 to 29000,0,400,3,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,60
Accura,Urban,Male,Married,37,Third Party,Sedan - All Perils,30000 to 39000,0,400,1,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,61
Honda,Urban,Female,Single,28,Policy Holder,Sedan - Collision,less than 20000,0,400,1,more than 30,2 to 4,5 years,No,No,External,1 to 2,no change,1 vehicle,60
Toyota,Urban,Male,Married,59,Policy Holder,Sedan - Collision,40000 to 59000,0,400,4,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,61
Honda,Urban,Female,Single,22,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,more than 4,5 years,No,No,External,more than 5,no change,1 vehicle,60
Chevrolet,Rural,Male,Married,40,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,2 to 4,7 years,No,No,External,3 to 5,4 to 8 years,2 vehicles,60
Pontiac,Urban,Male,Married,28,Policy Holder,Sedan - All Perils,30000 to 39000,1,400,1,more than 30,1,6 years,No,No,External,more than 5,no change,1 vehicle,61
Honda,Urban,Male,Married,44,Policy Holder,Sedan - Liability,20000 to 29000,0,400,2,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,62
Toyota,Rural,Female,Single,26,Policy Holder,Sedan - Liability,20000 to 29000,0,400,2,more than 30,1,5 years,No,No,External,1 to 2,no change,1 vehicle,13
Mazda,Urban,Male,Single,27,Policy Holder,Sedan - Liability,20000 to 29000,0,400,3,more than 30,none,7 years,No,No,Internal,more than 5,no change,1 vehicle,60
Toyota,Urban,Male,Married,58,Third Party,Sedan - All Perils,less than 20000,0,400,3,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,22
Pontiac,Urban,Male,Married,37,Policy Holder,Sedan - Collision,30000 to 39000,0,400,4,more than 30,none,7 years,No,No,External,3 to 5,no change,1 vehicle,60
Toyota,Rural,Male,Single,30,Policy Holder,Sedan - Liability,20000 to 29000,0,400,1,more than 30,1,7 years,No,No,External,more than 5,1 year,1 vehicle,60
Mazda,Urban,Female,Married,32,Policy Holder,Sedan - Liability,30000 to 39000,0,400,3,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,60
Mazda,Urban,Female,Single,26,Policy Holder,Sedan - Liability,20000 to 29000,0,400,3,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,60
Mazda,Rural,Female,Married,39,Policy Holder,Utility - All Perils,more than 69000,0,400,3,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,64
Chevrolet,Urban,Male,Single,37,Policy Holder,Utility - Collision,more than 69000,0,400,4,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,60
Toyota,Urban,Female,Married,30,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,60
Honda,Urban,Male,Married,44,Third Party,Sedan - All Perils,30000 to 39000,0,400,1,more than 30,none,7 years,No,No,External,3 to 5,no change,1 vehicle,62
Honda,Urban,Male,Single,18,Third Party,Sedan - All Perils,20000 to 29000,0,400,1,none,none,2 years,No,No,External,none,no change,1 vehicle,5
Toyota,Urban,Female,Single,26,Third Party,Sedan - All Perils,less than 20000,0,400,4,more than 30,2 to 4,4 years,No,No,External,1 to 2,no change,1 vehicle,61
Chevrolet,Urban,Male,Single,27,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,1,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1
Pontiac,Urban,Male,Married,38,Policy Holder,Sedan - All Perils,less than 20000,0,400,3,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,61
Toyota,Urban,Male,Married,61,Third Party,Sedan - All Perils,20000 to 29000,0,400,3,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,61
Honda,Urban,Male,Married,40,Third Party,Sedan - Collision,20000 to 29000,0,400,3,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,61
Pontiac,Urban,Male,Single,32,Third Party,Sedan - Collision,20000 to 29000,0,400,1,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,1 vehicle,61
Chevrolet,Urban,Male,Single,21,Third Party,Sedan - Collision,20000 to 29000,0,400,3,more than 30,2 to 4,3 years,No,No,External,3 to 5,4 to 8 years,3 to 4,62
Honda,Rural,Male,Single,45,Third Party,Sedan - Collision,30000 to 39000,0,400,3,more than 30,1,6 years,No,No,External,1 to 2,no change,1 vehicle,61
Mazda,Urban,Male,Married,32,Policy Holder,Sedan - Liability,30000 to 39000,0,400,4,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,60
Chevrolet,Urban,Male,Married,51,Third Party,Sedan - Collision,20000 to 29000,0,500,4,more than 30,2 to 4,more than 7,No,No,External,more than 5,2 to 3 years,1 vehicle,61
Mazda,Urban,Male,Married,31,Policy Holder,Sport - Collision,more than 69000,0,400,2,more than 30,none,5 years,No,No,External,none,no change,1 vehicle,9
Toyota,Urban,Male,Married,46,Policy Holder,Sedan - Liability,20000 to 29000,0,400,2,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,3
Mazda,Urban,Female,Single,31,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,60
Honda,Urban,Male,Married,61,Third Party,Sedan - All Perils,20000 to 29000,0,400,2,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,60
Pontiac,Urban,Male,Married,80,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,60
Honda,Urban,Male,Married,35,Third Party,Sedan - Liability,20000 to 29000,0,400,2,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,60
Toyota,Urban,Male,Married,44,Policy Holder,Sedan - Liability,30000 to 39000,0,400,4,more than 30,1,more than 7,No,No,External,3 to 5,no change,1 vehicle,61
Honda,Urban,Male,Single,31,Policy Holder,Sedan - Liability,30000 to 39000,0,400,4,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,60
Honda,Urban,Male,Married,39,Third Party,Sedan - Collision,20000 to 29000,0,400,1,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,6
Chevrolet,Rural,Female,Single,46,Third Party,Sedan - All Perils,20000 to 29000,0,400,1,more than 30,none,6 years,No,No,External,1 to 2,no change,1 vehicle,61
Pontiac,Urban,Male,Single,54,Policy Holder,Sedan - Collision,30000 to 39000,0,400,4,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,60
Chevrolet,Urban,Female,Single,25,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,none,5 years,No,No,External,none,no change,1 vehicle,61
Honda,Urban,Male,Married,54,Policy Holder,Sedan - Collision,more than 69000,0,400,1,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,60
Chevrolet,Rural,Male,Married,51,Policy Holder,Sedan - All Perils,more than 69000,0,400,1,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,60
Pontiac,Urban,Male,Single,32,Policy Holder,Sedan - Liability,20000 to 29000,0,400,1,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,60
Toyota,Urban,Male,Married,33,Policy Holder,Sedan - Collision,30000 to 39000,0,400,3,more than 30,1,6 years,No,No,External,3 to 5,no change,1 vehicle,60
Toyota,Urban,Male,Married,33,Policy Holder,Sedan - All Perils,less than 20000,0,400,1,more than 30,none,6 years,No,No,External,1 to 2,no change,1 vehicle,60
VW,Urban,Male,Single,72,Policy Holder,Utility - All Perils,more than 69000,0,400,4,more than 30,more than 4,more than 7,No,No,External,1 to 2,4 to 8 years,2 vehicles,3
Pontiac,Rural,Female,Married,61,Policy Holder,Sedan - Liability,less than 20000,0,400,4,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,60
Dodge,Urban,Female,Married,42,Policy Holder,Sedan - Collision,30000 to 39000,0,400,2,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,60
Pontiac,Rural,Male,Married,39,Policy Holder,Sedan - All Perils,less than 20000,0,400,4,more than 30,none,7 years,No,No,External,1 to 2,no change,1 vehicle,60
Toyota,Urban,Female,Married,27,Policy Holder,Sedan - Liability,30000 to 39000,0,400,4,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,2
Honda,Urban,Male,Married,52,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,12
Pontiac,Rural,Male,Married,61,Policy Holder,Sedan - Liability,20000 to 29000,0,400,1,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,61
Pontiac,Urban,Male,Married,63,Third Party,Sedan - All Perils,20000 to 29000,0,400,1,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,2
Toyota,Urban,Male,Married,41,Policy Holder,Sedan - Liability,20000 to 29000,0,400,3,more than 30,more than 4,7 years,No,No,External,none,no change,1 vehicle,60
Pontiac,Urban,Male,Married,62,Policy Holder,Sedan - Collision,20000 to 29000,0,400,1,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,61
Chevrolet,Urban,Male,Married,35,Third Party,Sedan - Collision,40000 to 59000,0,400,4,more than 30,2 to 4,6 years,No,No,Internal,1 to 2,no change,1 vehicle,61
VW,Urban,Male,Married,34,Policy Holder,Sedan - Collision,40000 to 59000,0,700,2,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,60
Pontiac,Urban,Female,Single,32,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,2 to 4,5 years,No,No,External,none,no change,1 vehicle,60
Ford,Urban,Male,Single,24,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,2 to 4,5 years,No,No,External,more than 5,no change,1 vehicle,61
Saab,Urban,Male,Married,50,Policy Holder,Sedan - Liability,30000 to 39000,0,400,1,more than 30,more than 4,7 years,No,No,External,none,no change,1 vehicle,60
Toyota,Urban,Male,Married,45,Third Party,Sedan - Collision,20000 to 29000,0,400,4,more than 30,2 to 4,more than 7,No,No,External,1 to 2,no change,1 vehicle,60
Mazda,Urban,Male,Married,32,Policy Holder,Sport - Collision,more than 69000,0,400,1,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,61
Pontiac,Rural,Male,Married,54,Policy Holder,Sedan - Collision,30000 to 39000,1,400,1,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,61
Honda,Urban,Male,Married,37,Third Party,Sedan - All Perils,less than 20000,0,400,3,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,60
Honda,Urban,Male,Married,42,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,60
Toyota,Urban,Male,Married,50,Policy Holder,Sedan - All Perils,more than 69000,0,400,4,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,3 to 4,60
Mazda,Urban,Male,Married,34,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,none,7 years,Yes,No,External,1 to 2,4 to 8 years,2 vehicles,6
Toyota,Urban,Female,Single,28,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,1 vehicle,60
